momentum_lookback,breadth_threshold_pct,trailing_stop_pct,entry_top,strategy_cagr,strategy_max_drawdown,strategy_sharpe,total_trades,avg_exposure_pct,final_equity
60,80.0,35.0,3,0.4555742544840913,-0.4236354664800381,0.7201094828248833,435,25.012193657853704,108422.03949874322
60,80.0,35.0,5,0.6446284781750087,-0.5990656963769073,0.8971048751752304,671,33.077770516341815,235413.25770315627
60,80.0,35.0,10,0.7073230908463108,-0.5911606510301174,0.995901880024885,944,34.50101542413741,298531.46939919994
90,60.0,15.0,3,0.4589158157387321,-0.369238711619305,0.8706593918776082,407,22.355803951687175,110012.08803823381
90,60.0,15.0,5,0.699594318459932,-0.42402389141026425,1.0370620028405269,642,30.207628648686853,290054.51076890714
90,60.0,15.0,10,0.7259678012671047,-0.4682087700257764,1.063841840199594,925,32.89482612965527,319844.2548715559
90,60.0,25.0,3,0.5423568479374272,-0.47934812409436217,0.93724000974551,411,24.278540572521095,156602.9763529643
90,60.0,25.0,5,0.7371179860817645,-0.5500431737969947,1.0185269164633721,645,33.20142696315429,333191.9917900241
90,60.0,25.0,10,0.7331024021808683,-0.5779831259343993,1.0218164334752162,936,36.12086254035034,328331.94872750173
90,60.0,35.0,3,0.7082783432676842,-0.46204391600551986,0.8921214394570954,418,26.136894414586383,299593.53905324475
90,60.0,35.0,5,0.8843600669548772,-0.5730323949983744,1.038814200082952,656,34.92168422361417,558517.0777363924
90,60.0,35.0,10,0.7898839746228288,-0.5911606510301174,1.0465166856477626,944,36.42701008440536,402906.5888520126
90,70.0,15.0,3,0.4695407637769251,-0.36923871161930466,0.8863106733284415,407,22.13420224948215,115199.0554859477
90,70.0,15.0,5,0.6881024196631669,-0.42402389141026375,1.0349012109515416,642,29.412387047524764,277825.5670945653
90,70.0,15.0,10,0.735589118604453,-0.4682087700257764,1.0828387764939689,925,31.826900000254454,331334.5149111449
90,70.0,25.0,3,0.5489157145509234,-0.47934812409436217,0.9473850518213395,411,23.990209938976168,160879.55277548562
90,70.0,25.0,5,0.7457287991866699,-0.5500431737969947,1.0321137898640067,645,32.433404058560434,343818.26014567626
90,70.0,25.0,10,0.7408064647301897,-0.5779831259343993,1.0367225665865234,936,35.08891294139861,337709.4063814293
90,70.0,35.0,3,0.7191874067042221,-0.46204391600552047,0.9011404164544232,418,25.697913167018704,311950.0146239578
90,70.0,35.0,5,0.8788016197079,-0.5730323949983744,1.040323303268581,656,33.86600342169236,548139.1308628815
90,70.0,35.0,10,0.8035535632222228,-0.5911606510301174,1.0632842216622749,944,35.386139470760995,422846.5243029344
90,80.0,15.0,3,0.42202410771219245,-0.3692387116193045,0.8423602743476728,407,21.765375238104443,93501.35410140199
90,80.0,15.0,5,0.6021072327782111,-0.4278094020116654,0.9669009025864326,642,28.707853692174005,199343.64712153524
90,80.0,15.0,10,0.6458444576453688,-0.4627343809526307,1.011988094874544,925,30.965180046369333,236520.54099827123
90,80.0,25.0,3,0.49670647596426787,-0.48393512950403444,0.9043199175471687,411,23.545454243107113,129406.4189795695
90,80.0,25.0,5,0.6544707573955875,-0.5566311128050853,0.966603009836665,645,31.644957481244667,244502.4468847311
90,80.0,25.0,10,0.6487965674082923,-0.5779831259343992,0.9674368229033866,936,34.20295819654906,239227.03418106472
90,80.0,35.0,3,0.6613009680966864,-0.4667833737869355,0.8643314077592291,418,25.2531218725969,250982.31485890097
90,80.0,35.0,5,0.780704868447619,-0.5730323949983744,0.9815532830324681,656,33.07751444033235,389966.50334540516
90,80.0,35.0,10,0.7073230908463108,-0.5911606510301174,0.9959018800248848,944,34.50101542413741,298531.46939919994
