variant,date,exposure_scaling_mode,breadth_pct,alt_participation_pct,target_exposure
no_scaling,2023-07-19,no_scaling,,,1.0
no_scaling,2023-07-26,no_scaling,,,1.0
no_scaling,2023-08-02,no_scaling,,,1.0
no_scaling,2023-08-09,no_scaling,,,1.0
no_scaling,2023-08-16,no_scaling,,,1.0
no_scaling,2023-10-18,no_scaling,,,1.0
no_scaling,2023-10-25,no_scaling,,,1.0
no_scaling,2023-11-01,no_scaling,,,1.0
no_scaling,2023-11-08,no_scaling,,,1.0
no_scaling,2023-11-15,no_scaling,,,1.0
no_scaling,2023-11-22,no_scaling,,,1.0
no_scaling,2023-11-29,no_scaling,,,1.0
no_scaling,2023-12-06,no_scaling,,,1.0
no_scaling,2023-12-13,no_scaling,,,1.0
no_scaling,2023-12-20,no_scaling,,,1.0
no_scaling,2023-12-27,no_scaling,,,1.0
no_scaling,2024-01-03,no_scaling,,,1.0
no_scaling,2024-01-10,no_scaling,,,1.0
no_scaling,2024-01-17,no_scaling,,,1.0
no_scaling,2024-01-24,no_scaling,,,1.0
no_scaling,2024-01-31,no_scaling,,,1.0
no_scaling,2024-02-07,no_scaling,,,1.0
no_scaling,2024-02-14,no_scaling,,,1.0
no_scaling,2024-02-21,no_scaling,,,1.0
no_scaling,2024-02-28,no_scaling,,,1.0
no_scaling,2024-03-06,no_scaling,,,1.0
no_scaling,2024-03-13,no_scaling,,,1.0
no_scaling,2024-03-20,no_scaling,,,1.0
no_scaling,2024-03-27,no_scaling,,,1.0
no_scaling,2024-04-03,no_scaling,,,1.0
no_scaling,2024-04-10,no_scaling,,,1.0
no_scaling,2024-04-17,no_scaling,,,1.0
no_scaling,2024-04-24,no_scaling,,,1.0
no_scaling,2024-05-01,no_scaling,,,1.0
no_scaling,2024-05-08,no_scaling,,,1.0
no_scaling,2024-05-15,no_scaling,,,1.0
