date,value
2020-08-28,30214.116387550657
2020-08-29,30484.820677525422
2020-08-30,32801.10116999312
2020-08-31,33171.98134128623
2020-09-01,36353.90380056587
2020-09-02,33608.62583161275
2020-09-03,29165.71078993653
2020-09-04,29460.885524202797
2020-09-05,25618.26106905253
2020-09-06,26978.664831383347
2020-09-07,27039.076240727994
2020-09-08,25800.259998470592
2020-09-09,26829.54806148199
2020-09-10,28135.658025541023
2020-09-11,28571.53781448344
2020-09-12,29653.59027299839
2020-09-13,28020.188116540492
2020-09-14,28838.418597537657
2020-09-15,27839.718589890646
2020-09-16,27920.012235222144
2020-09-17,29774.413091687697
2020-09-18,29394.35650378527
2020-09-19,29460.120822818684
2020-09-20,28373.48015599908
2020-09-21,26027.37630955112
2020-09-22,26321.78634243328
2020-09-23,24525.502791160055
2020-09-24,26685.784201269405
2020-09-25,26911.371109581705
2020-09-26,27064.31138640361
2020-09-27,27337.3097805307
2020-09-28,27067.370191940045
2020-09-29,27513.19109887589
2020-09-30,27516.24990441232
2020-10-01,26982.48833830389
2020-10-02,26428.0798348245
2020-10-03,26454.844383268333
2020-10-04,26945.782671866633
2020-10-05,27041.37034488032
2020-10-06,26057.199663531388
2020-10-07,26120.669878412475
2020-10-08,26837.19507532308
2020-10-09,27913.129922765158
2020-10-10,28333.715684025385
2020-10-11,28612.06698784125
2020-10-12,29556.47319721648
2020-10-13,29138.181540108588
2020-10-14,28958.476714842855
2020-10-15,28878.183069511353
2020-10-16,27949.835589202416
2020-10-17,28165.481379521294
2020-10-18,28914.124034564502
2020-10-19,29005.123499273534
2020-10-20,28180.77540720348
2020-10-21,29852.412632866864
2020-10-22,31657.1078993653
2020-10-23,31284.698325303965
2020-10-24,31516.402844689146
2020-10-25,31036.17037546838
2020-10-26,30016.0587290663
2020-10-27,30851.877341897987
2020-10-28,29688.00183528332
2020-10-29,29603.884683031272
2020-10-30,29249.063240804466
2020-10-31,29552.649690295937
2020-11-01,30333.409803471746
2020-11-02,29289.592414162264
2020-11-03,29661.23728683949
2020-11-04,30778.466009023476
2020-11-05,31864.34197445897
2020-11-06,34863.500802936454
2020-11-07,33280.568937829776
2020-11-08,34740.38388009482
2020-11-09,33977.211898753536
2020-11-10,34437.562131987455
2020-11-11,35412.55639672707
2020-11-12,35359.02729983941
2020-11-13,36432.66804312915
2020-11-14,35244.32209222298
2020-11-15,34264.739619178705
2020-11-16,35218.32224516326
2020-11-17,36870.07723483979
2020-11-18,36584.078917182844
2020-11-19,36036.55272616044
2020-11-20,39008.94700619408
2020-11-21,42238.280951288514
2020-11-22,42825.571614284614
2020-11-23,46538.196834136266
2020-11-24,46262.13963447274
2020-11-25,43549.74382503632
2020-11-26,39751.47205016441
2020-11-27,39663.53139099181
2020-11-28,41104.22879865413
2020-11-29,44069.740766230774
2020-11-30,47156.07555249674
2020-12-01,44754.9132063929
2020-12-02,45644.26091611225
2020-12-03,47094.13474038388
2020-12-04,43376.921312227576
2020-12-05,45637.37860365527
2020-12-06,45999.84705972317
2020-12-07,45215.26343962682
2020-12-08,42436.33860977289
2020-12-09,43824.271621931635
2020-12-10,42746.04267033723
2020-12-11,41632.63745507379
2020-12-12,43438.09742295633
2020-12-13,45170.91075934847
2020-12-14,44833.67744895617
2020-12-15,45013.38227422191
2020-12-16,48725.242792689445
2020-12-17,49147.357956717904
2020-12-18,50000.0
2020-12-19,50319.64517855777
2020-12-20,48801.7129311004
2020-12-21,46461.726695725316
2020-12-22,48669.419591649465
2020-12-23,44777.85424791618
