timestamp,open,high,low,close,volume
2021-09-03,64.57,68.56,63.15,65.82,2062915.19
2021-09-04,65.85,79.0,65.4,78.3,4383135.94
2021-09-05,78.27,83.61,76.02,79.33,5154431.66
2021-09-06,79.3,87.0,75.78,79.55,4082261.55
2021-09-07,79.52,81.31,55.0,61.23,6261944.62
2021-09-08,61.23,63.86,55.5,61.58,3401162.34
2021-09-09,61.49,64.63,58.67,60.82,2950122.07
2021-09-10,60.82,63.08,54.29,56.91,2637847.42
2021-09-11,56.92,62.0,55.46,58.1,2076336.41
2021-09-12,58.08,61.88,56.34,59.43,1693103.7
2021-09-13,59.44,60.27,50.36,55.06,2098261.31
2021-09-14,55.06,58.81,54.37,56.93,1362715.04
2021-09-15,56.93,62.3,56.68,61.37,1488191.86
2021-09-16,61.37,61.71,56.57,57.93,1293716.19
2021-09-17,57.91,58.6,55.0,56.45,982128.57
2021-09-18,56.47,61.2,55.47,58.6,1230921.55
2021-09-19,58.58,58.87,56.12,57.16,755052.42
2021-09-20,57.18,57.36,45.27,47.58,2433927.32
2021-09-21,47.57,50.14,42.12,44.79,1896657.04
2021-09-22,44.77,52.0,44.03,49.89,1567645.14
2021-09-23,49.9,52.3,48.78,50.56,1458482.89
2021-09-24,50.55,51.46,42.11,46.11,2332675.22
2021-09-25,46.1,47.12,44.0,45.79,1041802.33
2021-09-26,45.78,45.96,39.5,43.69,2068058.81
2021-09-27,43.69,46.73,42.25,42.46,1484962.85
2021-09-28,42.44,43.84,40.66,40.87,955085.77
2021-09-29,40.88,45.81,40.58,44.4,1439319.0
2021-09-30,44.4,45.63,43.41,45.09,1098287.85
2021-10-01,45.1,52.67,44.8,51.68,1824968.49
2021-10-02,51.68,52.58,48.67,49.57,1371552.91
2021-10-03,49.59,51.44,48.1,50.32,1286265.62
2021-10-04,50.31,50.35,46.91,48.96,1316248.44
2021-10-05,48.92,57.24,48.28,54.44,3468114.99
2021-10-06,54.44,57.0,50.28,52.74,2324850.97
2021-10-07,52.75,54.5,50.68,50.95,2119627.03
2021-10-08,50.97,52.32,48.55,49.2,2239201.51
2021-10-09,49.23,51.85,48.49,49.56,1697945.93
2021-10-10,49.55,49.57,43.83,44.91,1979685.68
2021-10-11,44.9,47.14,43.07,45.0,1853923.49
2021-10-12,45.02,45.06,40.69,43.18,2278355.85
2021-10-13,43.16,44.36,40.18,43.17,2212990.63
2021-10-14,43.17,45.43,42.3,42.91,2364035.04
2021-10-15,42.91,44.48,41.31,43.12,2749160.59
2021-10-16,43.1,47.48,42.89,45.96,3373708.19
2021-10-17,45.96,46.87,42.0,44.11,2259817.02
2021-10-18,44.09,44.55,42.11,43.85,1633888.65
2021-10-19,43.83,45.4,42.8,43.77,1665428.03
2021-10-20,43.79,48.08,43.35,46.94,2233060.33
2021-10-21,46.94,48.48,44.2,44.67,2500079.73
2021-10-22,44.66,46.34,43.78,45.02,1466571.35
2021-10-23,45.03,46.16,44.04,45.43,1063288.48
2021-10-24,45.44,45.49,42.2,43.32,1346106.19
2021-10-25,43.34,49.5,43.12,48.74,2367474.35
2021-10-26,48.75,51.76,46.0,46.8,3291766.79
2021-10-27,46.82,47.98,37.46,40.68,4211222.53
2021-10-28,40.69,44.28,40.5,43.19,2499714.94
2021-10-29,43.18,45.85,42.66,45.41,2036247.14
2021-10-30,45.43,45.47,42.0,43.38,1619608.22
2021-10-31,43.38,46.92,43.01,44.96,2867937.27
2021-11-01,44.95,47.15,43.1,47.02,2345680.72
2021-11-02,47.02,48.95,45.41,47.23,2493862.44
2021-11-03,47.25,48.2,44.56,46.68,1970061.6
2021-11-04,46.68,48.0,44.74,46.04,1853051.34
2021-11-05,46.03,55.0,45.35,49.36,6806705.83
2021-11-06,49.37,52.04,46.5,49.53,2869729.19
2021-11-07,49.52,53.93,48.84,53.52,2389798.33
2021-11-08,53.53,58.3,51.45,54.73,4435837.47
2021-11-09,54.71,57.11,52.2,52.5,2297474.07
2021-11-10,52.54,54.67,43.33,48.21,3422440.76
2021-11-11,48.21,49.18,46.0,47.7,2352184.65
2021-11-12,47.7,48.64,44.35,46.35,2130231.5
2021-11-13,46.36,49.13,45.41,48.46,1656342.88
2021-11-14,48.46,49.83,46.8,48.33,1682492.86
2021-11-15,48.34,49.29,46.0,46.87,1552193.21
2021-11-16,46.84,46.86,40.13,42.59,3044535.31
2021-11-17,42.58,43.48,40.55,42.91,1753575.43
2021-11-18,42.91,43.32,38.1,39.83,2494103.14
2021-11-19,39.83,42.74,39.05,41.88,1721457.31
2021-11-20,41.88,44.24,41.05,43.46,1801496.77
2021-11-21,43.46,45.79,42.89,43.24,2324382.84
2021-11-22,43.25,43.45,40.68,41.63,1666979.32
2021-11-23,41.62,42.74,40.71,41.99,1387112.65
2021-11-24,42.0,42.5,40.05,40.38,1636454.59
2021-11-25,40.38,44.21,40.27,43.1,1740148.84
2021-11-26,43.1,45.92,38.3,39.6,3615132.66
2021-11-27,39.6,44.69,39.3,42.13,2976060.73
2021-11-28,42.13,42.41,39.08,41.86,2153449.14
2021-11-29,41.86,42.63,41.0,41.97,1447820.9
2021-11-30,41.96,42.78,40.15,40.84,1944361.75
2021-12-01,40.84,42.96,40.4,41.01,1666659.55
2021-12-02,41.0,41.02,39.5,40.14,1234118.56
2021-12-03,40.12,41.46,35.65,37.92,2113931.43
2021-12-04,37.91,38.15,24.0,31.71,6460036.07
2021-12-05,31.71,32.3,28.21,30.37,2728238.61
2021-12-06,30.38,30.51,26.7,30.21,2946658.12
2021-12-07,30.21,31.25,29.04,29.49,2134372.27
2021-12-08,29.5,33.29,29.07,31.55,3809760.52
2021-12-09,31.56,31.75,28.06,28.29,1608355.09
2021-12-10,28.29,29.49,26.32,26.73,2106719.74
2021-12-11,26.74,28.82,26.09,27.91,1616745.99
2021-12-12,27.91,29.0,27.03,28.48,1303417.64
2021-12-13,28.46,29.0,24.21,25.06,2349714.74
2021-12-14,25.07,25.78,24.2,25.52,1723381.03
2021-12-15,25.5,26.71,23.62,25.94,2407923.12
2021-12-16,25.94,26.47,24.22,24.38,1838035.91
2021-12-17,24.38,24.87,22.76,23.28,2451203.17
2021-12-18,23.28,24.07,22.81,23.66,2239075.64
2021-12-19,23.66,24.76,22.38,22.65,2311835.55
2021-12-20,22.65,23.0,20.88,21.76,3060755.8
2021-12-21,21.77,23.52,21.44,23.1,2686284.83
2021-12-22,23.1,24.21,22.81,23.31,3432808.15
2021-12-23,23.32,27.92,22.92,27.0,5758633.09
2021-12-24,27.01,28.74,26.42,27.62,3605710.17
2021-12-25,27.62,28.79,26.54,27.27,1982697.41
2021-12-26,27.27,27.91,25.81,26.69,2518856.08
2021-12-27,26.69,29.9,26.67,28.25,3222010.91
2021-12-28,28.23,28.26,24.3,24.72,3965926.96
2021-12-29,24.72,25.32,23.52,24.05,2436786.42
2021-12-30,24.04,26.05,23.26,24.77,2265270.36
2021-12-31,24.77,26.59,24.0,24.4,2542720.78
2022-01-01,24.42,26.0,24.4,25.62,1450347.58
2022-01-02,25.62,28.57,25.38,27.31,3745022.06
2022-01-03,27.31,29.46,26.5,29.26,3919002.06
2022-01-04,29.26,35.56,27.81,33.79,8471538.89
2022-01-05,33.79,38.02,29.0,30.64,10608704.84
2022-01-06,30.63,32.63,28.56,30.59,7215531.19
